Query,Time,Value,Unit
"text=""Barack Obama""",2011-01-17,54,seconds
"text=""Barack Obama""",2011-01-18,84.429,seconds
"text=""Barack Obama""",2011-01-19,67,seconds
"text=""Barack Obama""",2011-01-20,75,seconds
"text=""Barack Obama""",2011-01-21,82,seconds
"text=""Barack Obama""",2011-01-22,13,seconds
"text=""Barack Obama""",2011-01-23,43,seconds
"text=""Barack Obama""",2011-01-24,72,seconds
"text=""Barack Obama""",2011-01-25,70,seconds
"text=""Barack Obama""",2011-01-26,63,seconds
"text=""Barack Obama""",2011-01-27,54,seconds
"text=""Barack Obama""",2011-01-28,54,seconds
"text=""Barack Obama""",2011-01-29,19,seconds
"text=""Barack Obama""",2011-01-30,5,seconds
"text=""Barack Obama""",2011-01-31,25,seconds
"text=""Barack Obama""",2011-02-01,36.740,seconds
"text=""Barack Obama""",2011-02-02,39,seconds
"text=""Barack Obama""",2011-02-03,33,seconds
"text=""Barack Obama""",2011-02-04,36,seconds
"text=""Barack Obama""",2011-02-05,6,seconds
"text=""Barack Obama""",2011-02-06,16,seconds
"text=""Barack Obama""",2011-02-07,42,seconds
"text=""Barack Obama""",2011-02-08,59,seconds
"text=""Barack Obama""",2011-02-09,65,seconds
"text=""Barack Obama""",2011-02-10,53,seconds
"text=""Barack Obama""",2011-02-11,40,seconds
"text=""Barack Obama""",2011-02-12,28,seconds
"text=""Barack Obama""",2011-02-13,26,seconds
"text=""Barack Obama""",2011-02-14,38,seconds
"text=""Barack Obama""",2011-02-15,49,seconds
"text=""Barack Obama""",2011-02-16,43,seconds
"text=""Barack Obama""",2011-02-17,38,seconds
"text=""Barack Obama""",2011-02-18,28,seconds
"text=""Barack Obama""",2011-02-19,9,seconds
"text=""Barack Obama""",2011-02-20,6,seconds
"text=""Barack Obama""",2011-02-21,37,seconds
"text=""Barack Obama""",2011-02-22,35,seconds
"text=""Barack Obama""",2011-02-23,28,seconds
"text=""Barack Obama""",2011-02-24,27,seconds
"text=""Barack Obama""",2011-02-25,43,seconds
"text=""Barack Obama""",2011-02-26,16,seconds
"text=""Barack Obama""",2011-02-27,17,seconds
"text=""Barack Obama""",2011-02-28,40,seconds
"text=""Barack Obama""",2011-03-01,40,seconds
"text=""Barack Obama""",2011-03-02,72,seconds
"text=""Barack Obama""",2011-03-03,102,seconds
"text=""Barack Obama""",2011-03-04,46,seconds
"text=""Barack Obama""",2011-03-05,14,seconds
"text=""Barack Obama""",2011-03-06,10,seconds
"text=""Barack Obama""",2011-03-07,35,seconds
"text=""Barack Obama""",2011-03-08,51,seconds
"text=""Barack Obama""",2011-03-09,37,seconds
"text=""Barack Obama""",2011-03-10,45,seconds
"text=""Barack Obama""",2011-03-11,20,seconds
"text=""Barack Obama""",2011-03-12,8,seconds
"text=""Barack Obama""",2011-03-13,3,seconds
"text=""Barack Obama""",2011-03-14,6,seconds
"text=""Barack Obama""",2011-03-15,22,seconds
"text=""Barack Obama""",2011-03-16,37,seconds
"text=""Barack Obama""",2011-03-17,59,seconds
"text=""Barack Obama""",2011-03-18,41,seconds
"text=""Barack Obama""",2011-03-19,26,seconds
"text=""Barack Obama""",2011-03-20,9,seconds
"text=""Barack Obama""",2011-03-21,64,seconds
"text=""Barack Obama""",2011-03-22,79,seconds
"text=""Barack Obama""",2011-03-23,58,seconds
"text=""Barack Obama""",2011-03-24,33,seconds
"text=""Barack Obama""",2011-03-25,17,seconds
"text=""Barack Obama""",2011-03-26,23,seconds
"text=""Barack Obama""",2011-03-27,25,seconds
"text=""Barack Obama""",2011-03-28,53,seconds
"text=""Barack Obama""",2011-03-29,69,seconds
"text=""Barack Obama""",2011-03-30,55,seconds
"text=""Barack Obama""",2011-03-31,50.472,seconds
