Query,Time,Value,Unit
"text=""Obama""",2011-01-17,403.622,seconds
"text=""Obama""",2011-01-18,623.380,seconds
"text=""Obama""",2011-01-19,714.634,seconds
"text=""Obama""",2011-01-20,647.228,seconds
"text=""Obama""",2011-01-21,558.249,seconds
"text=""Obama""",2011-01-22,319.103,seconds
"text=""Obama""",2011-01-23,302.878,seconds
"text=""Obama""",2011-01-24,487.281,seconds
"text=""Obama""",2011-01-25,596.910,seconds
"text=""Obama""",2011-01-26,671.435,seconds
"text=""Obama""",2011-01-27,509.077,seconds
"text=""Obama""",2011-01-28,586.144,seconds
"text=""Obama""",2011-01-29,399.381,seconds
"text=""Obama""",2011-01-30,270.055,seconds
"text=""Obama""",2011-01-31,450.125,seconds
"text=""Obama""",2011-02-01,575.795,seconds
"text=""Obama""",2011-02-02,467.644,seconds
"text=""Obama""",2011-02-03,383.645,seconds
"text=""Obama""",2011-02-04,455.959,seconds
"text=""Obama""",2011-02-05,290.602,seconds
"text=""Obama""",2011-02-06,231.044,seconds
"text=""Obama""",2011-02-07,600.055,seconds
"text=""Obama""",2011-02-08,608.238,seconds
"text=""Obama""",2011-02-09,552.343,seconds
"text=""Obama""",2011-02-10,476.791,seconds
"text=""Obama""",2011-02-11,479.142,seconds
"text=""Obama""",2011-02-12,306.516,seconds
"text=""Obama""",2011-02-13,234.470,seconds
"text=""Obama""",2011-02-14,492.736,seconds
"text=""Obama""",2011-02-15,597.225,seconds
"text=""Obama""",2011-02-16,477.531,seconds
"text=""Obama""",2011-02-17,347.563,seconds
"text=""Obama""",2011-02-18,350.284,seconds
"text=""Obama""",2011-02-19,223.459,seconds
"text=""Obama""",2011-02-20,189.330,seconds
"text=""Obama""",2011-02-21,295.585,seconds
"text=""Obama""",2011-02-22,268.764,seconds
"text=""Obama""",2011-02-23,391,seconds
"text=""Obama""",2011-02-24,384.824,seconds
"text=""Obama""",2011-02-25,366.200,seconds
"text=""Obama""",2011-02-26,244.700,seconds
"text=""Obama""",2011-02-27,218.189,seconds
"text=""Obama""",2011-02-28,381.759,seconds
"text=""Obama""",2011-03-01,354.193,seconds
"text=""Obama""",2011-03-02,439.770,seconds
"text=""Obama""",2011-03-03,544.690,seconds
"text=""Obama""",2011-03-04,422.029,seconds
"text=""Obama""",2011-03-05,170.850,seconds
"text=""Obama""",2011-03-06,197.133,seconds
"text=""Obama""",2011-03-07,449.657,seconds
"text=""Obama""",2011-03-08,538.961,seconds
"text=""Obama""",2011-03-09,373.902,seconds
"text=""Obama""",2011-03-10,249.104,seconds
"text=""Obama""",2011-03-11,200.667,seconds
"text=""Obama""",2011-03-12,61,seconds
"text=""Obama""",2011-03-13,84,seconds
"text=""Obama""",2011-03-14,155,seconds
"text=""Obama""",2011-03-15,153.504,seconds
"text=""Obama""",2011-03-16,248.974,seconds
"text=""Obama""",2011-03-17,406.030,seconds
"text=""Obama""",2011-03-18,402.700,seconds
"text=""Obama""",2011-03-19,339.697,seconds
"text=""Obama""",2011-03-20,253.940,seconds
