Query,Time,Value,Unit
"text=""election"" AND text=""interfere"" AND channel=""MSNBC""",2019-05-03,0.759,seconds
"text=""election"" AND text=""interfere"" AND channel=""MSNBC""",2019-05-04,1.844,seconds
"text=""election"" AND text=""interfere"" AND channel=""MSNBC""",2019-05-05,0.315,seconds
"text=""election"" AND text=""interfere"" AND channel=""MSNBC""",2019-05-07,0.365,seconds
"text=""election"" AND text=""interfere"" AND channel=""MSNBC""",2019-05-10,0.645,seconds
"text=""election"" AND text=""interfere"" AND channel=""MSNBC""",2019-05-11,0.9199999999999999,seconds
"text=""election"" AND text=""interfere"" AND channel=""MSNBC""",2019-05-13,0.379,seconds
"text=""election"" AND text=""interfere"" AND channel=""MSNBC""",2019-05-14,1.095,seconds
"text=""election"" AND text=""interfere"" AND channel=""MSNBC""",2019-05-23,0.24,seconds
"text=""election"" AND text=""interfere"" AND channel=""MSNBC""",2019-05-24,0.24,seconds
"text=""election"" AND text=""interfere"" AND channel=""MSNBC""",2019-05-29,4.556,seconds
"text=""election"" AND text=""interfere"" AND channel=""MSNBC""",2019-05-30,3.6600000000000006,seconds
"text=""election"" AND text=""interfere"" AND channel=""MSNBC""",2019-05-31,1.3690000000000002,seconds
"text=""election"" AND text=""interfere"" AND channel=""MSNBC""",2019-06-01,0.449,seconds
"text=""election"" AND text=""interfere"" AND channel=""MSNBC""",2019-06-02,0.573,seconds
"text=""election"" AND text=""interfere"" AND channel=""MSNBC""",2019-06-06,0.341,seconds
"text=""election"" AND text=""interfere"" AND channel=""MSNBC""",2019-06-09,0.279,seconds
"text=""election"" AND text=""interfere"" AND channel=""MSNBC""",2019-06-11,0.35,seconds
"text=""election"" AND text=""interfere"" AND channel=""MSNBC""",2019-06-12,0.305,seconds
"text=""election"" AND text=""interfere"" AND channel=""MSNBC""",2019-06-13,1.912,seconds
"text=""election"" AND text=""interfere"" AND channel=""MSNBC""",2019-06-14,0.525,seconds
"text=""election"" AND text=""interfere"" AND channel=""MSNBC""",2019-06-15,0.365,seconds
"text=""election"" AND text=""interfere"" AND channel=""MSNBC""",2019-06-16,0.3,seconds
"text=""election"" AND text=""interfere"" AND channel=""MSNBC""",2019-06-28,1.751,seconds
"text=""election"" AND text=""interfere"" AND channel=""MSNBC""",2019-06-29,2.049,seconds
"text=""election"" AND text=""interfere"" AND channel=""MSNBC""",2019-07-01,2.968,seconds
"text=""election"" AND text=""interfere"" AND channel=""MSNBC""",2019-07-02,0.906,seconds
"text=""election"" AND text=""interfere"" AND channel=""MSNBC""",2019-07-13,0.5389999999999999,seconds
"text=""election"" AND text=""interfere"" AND channel=""MSNBC""",2019-07-15,0.175,seconds
"text=""election"" AND text=""interfere"" AND channel=""MSNBC""",2019-07-16,0.16,seconds
"text=""election"" AND text=""interfere"" AND channel=""MSNBC""",2019-07-18,0.385,seconds
"text=""election"" AND text=""interfere"" AND channel=""MSNBC""",2019-07-19,0.381,seconds
"text=""election"" AND text=""interfere"" AND channel=""MSNBC""",2019-07-22,1.14,seconds
"text=""election"" AND text=""interfere"" AND channel=""MSNBC""",2019-07-23,0.9660000000000001,seconds
"text=""election"" AND text=""interfere"" AND channel=""MSNBC""",2019-07-24,2.5690000000000004,seconds
"text=""election"" AND text=""interfere"" AND channel=""MSNBC""",2019-07-25,1.955,seconds
"text=""election"" AND text=""interfere"" AND channel=""MSNBC""",2019-07-26,1.9740000000000002,seconds
"text=""election"" AND text=""interfere"" AND channel=""MSNBC""",2019-07-27,3.2830000000000004,seconds
"text=""election"" AND text=""interfere"" AND channel=""MSNBC""",2019-07-28,0.476,seconds
"text=""election"" AND text=""interfere"" AND channel=""MSNBC""",2019-07-29,0.359,seconds
"text=""election"" AND text=""interfere"" AND channel=""MSNBC""",2019-07-31,0.929,seconds
"text=""election"" AND text=""interfere"" AND channel=""MSNBC""",2019-08-01,1.5550000000000002,seconds
"text=""election"" AND text=""interfere"" AND channel=""MSNBC""",2019-08-02,2.784,seconds
"text=""election"" AND text=""interfere"" AND channel=""MSNBC""",2019-08-21,0.19,seconds
"text=""election"" AND text=""interfere"" AND channel=""MSNBC""",2019-08-22,1.108,seconds
"text=""election"" AND text=""interfere"" AND channel=""MSNBC""",2019-08-26,1.334,seconds
"text=""election"" AND text=""interfere"" AND channel=""MSNBC""",2019-08-27,1.432,seconds
"text=""election"" AND text=""interfere"" AND channel=""MSNBC""",2019-08-28,0.56,seconds
"text=""election"" AND text=""interfere"" AND channel=""MSNBC""",2019-08-29,0.385,seconds
"text=""election"" AND text=""interfere"" AND channel=""MSNBC""",2019-08-30,1.01,seconds
"text=""election"" AND text=""interfere"" AND channel=""MSNBC""",2019-09-17,0.3,seconds
"text=""election"" AND text=""interfere"" AND channel=""MSNBC""",2019-09-20,1.958,seconds
"text=""election"" AND text=""interfere"" AND channel=""MSNBC""",2019-09-21,1.478,seconds
"text=""election"" AND text=""interfere"" AND channel=""MSNBC""",2019-09-22,0.365,seconds
"text=""election"" AND text=""interfere"" AND channel=""MSNBC""",2019-09-23,0.7410000000000001,seconds
"text=""election"" AND text=""interfere"" AND channel=""MSNBC""",2019-09-24,0.716,seconds
"text=""election"" AND text=""interfere"" AND channel=""MSNBC""",2019-09-25,0.525,seconds
"text=""election"" AND text=""interfere"" AND channel=""MSNBC""",2019-09-26,1.788,seconds
"text=""election"" AND text=""interfere"" AND channel=""MSNBC""",2019-09-27,0.589,seconds
"text=""election"" AND text=""interfere"" AND channel=""MSNBC""",2019-09-28,0.585,seconds
"text=""election"" AND text=""interfere"" AND channel=""MSNBC""",2019-09-29,0.519,seconds
"text=""election"" AND text=""interfere"" AND channel=""MSNBC""",2019-09-30,1.397,seconds
"text=""election"" AND text=""interfere"" AND channel=""MSNBC""",2019-10-02,0.938,seconds
"text=""election"" AND text=""interfere"" AND channel=""MSNBC""",2019-10-03,0.904,seconds
"text=""election"" AND text=""interfere"" AND channel=""MSNBC""",2019-10-04,1.095,seconds
"text=""election"" AND text=""interfere"" AND channel=""MSNBC""",2019-10-05,1.099,seconds
"text=""election"" AND text=""interfere"" AND channel=""MSNBC""",2019-10-06,0.263,seconds
"text=""election"" AND text=""interfere"" AND channel=""MSNBC""",2019-10-07,0.34,seconds
"text=""election"" AND text=""interfere"" AND channel=""MSNBC""",2019-10-08,1.5050000000000001,seconds
"text=""election"" AND text=""interfere"" AND channel=""MSNBC""",2019-10-09,0.271,seconds
"text=""election"" AND text=""interfere"" AND channel=""MSNBC""",2019-10-10,1.486,seconds
"text=""election"" AND text=""interfere"" AND channel=""MSNBC""",2019-10-11,0.369,seconds
"text=""election"" AND text=""interfere"" AND channel=""MSNBC""",2019-10-16,2.567,seconds
"text=""election"" AND text=""interfere"" AND channel=""MSNBC""",2019-10-17,3.557,seconds
"text=""election"" AND text=""interfere"" AND channel=""MSNBC""",2019-10-18,1.951,seconds
"text=""election"" AND text=""interfere"" AND channel=""MSNBC""",2019-10-20,0.565,seconds
